金珉锡,xiumin
韩庚,庚宝
朴有天,
郑允浩,
金在中,
金俊秀,
沈昌珉,
李泰民,
崔珉豪,
李珍基,
金钟铉,
金基范,
金俊勉,suho
张艺兴,
边伯贤,白贤
金钟大,
朴灿烈,灿烈
都暻秀,D.O
金钟仁,KAI
吴世勋,sehun
吴亦凡,kris
鹿晗,鹿鹿
黄子韬,TAO
权志龙,G-Dragon
崔胜贤,
东永裴,
姜大声,大成
李胜贤,胜利
李洪基,抽基
姜敏赫,
郑容和,容初丁
尼坤,"Khun,Nichkhun"
裴秀智,suzy
少女时代,
金泰妍,泰妍
郑秀妍,jessica
李顺圭,
黄美英,
金孝渊,孝渊
权俞利,yuri
崔秀英,秀英
林允儿,允儿
徐珠贤,徐贤
崔雪莉,suli
郑秀晶,krystal
李智恩,
金明洙,
郑恩地,
泫雅,金马儿
朴春,饭春
DARA,达拉
李彩琳,孩子琳
陆星材,
张贤胜,
朴正洙,利特
金希澈,希澈
金钟云,艺声
金英云,强仁
李晟敏,晟敏
李赫宰,银赫
崔始源,
李东海,
金厉旭,厉旭
金起范,基范
圭贤,_圭贤
张根硕,"小帅,"
尹恩惠,
郑智薰,
玄彬,
朴宝英,国民妹妹
李准基,
赵寅成,
朴信惠,
池昌旭,小池池
朴海镇,
李敏镐,
李钟硕,李二硕 
金秀贤,秀man
全智贤,
安宰贤,安在贤
南柱赫,拉面主
金所炫,
李玹雨,
文根英,
金钟国,
刘在石,国民MC
宋智孝,"懵智,不良智孝"
池石镇,王鼻子大哥
gary,姜gary
李光洙,"光凡达,长颈鹿"
陈乔恩,
陈伟霆,靓仔霆
胡歌,吕品
刘诗诗,
李易峰,李政委
杨洋,
乔振宇,
霍建华,
钟汉良,小哇
赵丽颖,
陈晓,
唐嫣,糖糖
郑爽,郑小爽
angelababy,
杨幂,"幂幂,大幂幂"
马天宇,
刘亦菲,
井柏然,井宝
郭碧婷,妹花
张翰,
范冰冰,范爷
黄晓明,黄教主
陈学冬,吃货冬
戚薇,7哥
邓超,超哥
李晨,大黑牛
林更新,
蒋劲夫,夫仔
袁弘,袁丁
乔任梁,
金世佳,
马可,杀姐姐
陈赫,曾小贤
罗志祥,小猪
刘恺威,
吴彦祖,
迪丽热巴,胖迪
柳岩,
张馨予,
古力娜扎,娜扎
高圆圆,
赵薇,
张子萱,子萱
李小璐,
贾乃亮,
陈妍希,小笼包
韩栋,
汪东城,大东
明道,
唐禹哲,唐小呆
郑元畅,小综
阮经天,
赵又廷,
吴尊,
余文乐,阿乐
吴磊,
蒋欣,
佟丽娅,
陆毅,
杨蓉,
王丽坤,
周冬雨,
陈坤,
闫妮,
徐璐,
孙艺洲,吕子乔
董成鹏,大鹏
徐海乔,
徐娇,
张亮,张振锁
罗晋,
马伊琍,马司令
陈意涵,大发
彭于晏,
郭采洁,
吴奇隆,四爷
林志颖,小志
李治廷,
古天乐,
钟欣桐,阿娇
周渝民,仔仔
王祖蓝,
柯震东,
陈柏霖,
谢依霖,Hold住姐
陈汉典,
徐熙娣,小S
徐熙媛,大S
周笔畅,笔笔
李宇春,春春
张碧晨,飞雁
宋茜,
陈翔,
华晨宇,火星弟弟
周杰伦,"Jay,周董"
张杰,杰哥
张靓颖,靓颖
邓紫棋,GEM
易烊千玺,
王俊凯,
王源,
陈奕迅,E神
蔡依林,Jolin
张惠妹,阿妹
范玮琪,范范
丁当,
田馥甄,Hebe
任家萱,Selina
ALin,
张韶涵,
魏晨,晨晨
杨宗纬,
林俊杰,
吴青峰,青峰
陈信宏,阿信
李荣浩,浩哥
吴克群,
胡彦斌,
潘玮柏,潘帅
林宥嘉,
萧敬腾,
郁可唯,
曲婉婷,
徐怀钰,卿卿
陈芳语,
蔡健雅,
卓文萱,
莫文蔚,
胡夏,
苏醒,
陈楚生,
吉克隽逸,
萧亚轩,
白纬芬,
白纬玲,
古巨基,
方大同,
陈绮贞,
薛凯琪,
徐若瑄,
戴佩妮,
盛一伦,奶伦
宋仲基,
宋慧乔,
朴宝剑,
刘昊然,
黄景瑜,鲸鱼
许魏洲,洲洲
欧阳娜娜,
白敬亭,
大张伟,大老师
薛之谦,
王凯,凯凯王
金宇彬,
黄轩,
金韩彬,B.I
安喜延,HANI
金泰吴,泰吴
金裕贞,
王嘉尔,
靳东,
艾薇儿,"Avril,Lavigne"
Taylor,"Taylor Swift,泰勒斯威夫特,泰勒"
lady gaga,
贝克汉姆,David Beckham
贾斯汀比伯,Justin Bieber
安妮海瑟薇,Anne Hathaway
安吉丽娜朱莉,Angelina Jolie
布兰妮,"Britney Spears,Britney"
蕾哈娜,Rihanna
碧昂丝,"Beyoncé Giselle Knowles,Beyonce"
鞠婧祎,
赵嘉敏,
孟玥,
曾艳芬,
赵粤,
徐子轩,
黄婷婷,
陈嘉瑶,
李艺彤,
林心如,
袁姗姗,
张天爱,
森下悠里,
江疏影,
关晓彤,
颖儿,
刘涛,
王子文,
杨紫,
谭松韵,
张歆艺,
孙耀琦,
李沁,
林志玲,
孙俪,
孙骁骁,
胡冰卿,
谢娜,
安以轩,
张钧甯,
张柏芝,
车晓,
张雨绮,
张一山,
王思聪,
沈梦辰,
王健林,
黄磊,
雷洋,
田朴珺,
吴秀波,
李茂,
黄渤,
郭德纲,
周星驰,
孙红雷,
潘粤明,
宋小宝,
刘德华,
向佐,
林正英,
郑恺,
谢霆锋,
苏有朋,
金来沅,
成龙,
弦子,
徐佳莹,
陈松伶,
杨钰莹,
高胜美,
姚贝娜,
wonder girl,
金泫雅,
宋祖英,
泰勒斯威夫特,
邓丽君,
贾青,
曾沛慈,
韩红,
那英,
彭丽媛,
卓依婷,
梅艳芳,
杨丞琳,
何洁,
张含韵,
刘若英,
谭维维,
酒井法子,
范晓萱,
梁静茹,
王心凌,
孙燕姿,
张娜拉,
孟庭苇,
陈梓童,
王菲,
窦唯,
黄家驹,
张国荣,
许嵩,
张学友,
姜潮,
陈小春,
庾澄庆,
林峰,
王力宏,
刀郎,
汪峰,
迈克尔-杰克逊,
郑钧,
许巍,
李健,
王杰,
梅西,
科比,
乔丹,
史泰龙,
欧文,
邓肯,
费德勒,
麦迪,
霍华德,
卡卡,
阿黛尔,
艾弗森,
安东尼,
罗斯,
巴神,
杰森斯坦森,
斯嘉丽约翰逊,
保罗,
奥尼尔,
哈登,
罗纳尔多,
汤姆克鲁斯,
格里芬,
苏菲玛索,
尼古拉斯凯奇,
威尔史密斯,
莱昂纳多,
加内特,
布拉德皮特,
托雷斯,
艾玛沃特森,
齐达内,
雷阿伦,
卡特,
施瓦辛格,
纳什,
